method,seed,count_0,count_1,dead,rec_mse
vanilla,0,504,496,0,0.003242
drift,0,0,1000,1,0.035197
vanilla,1,0,1000,1,0.035154
drift,1,495,505,0,0.033889
vanilla,2,496,504,0,0.003331
drift,2,504,496,0,0.003742
vanilla,3,476,524,0,0.003410
drift,3,504,496,0,0.035416
vanilla,4,510,490,0,0.005444
drift,4,490,510,0,0.003233
vanilla,5,495,505,0,0.006689
drift,5,495,505,0,0.003211
vanilla,6,505,495,0,0.003501
drift,6,1000,0,1,0.034644
vanilla,7,505,495,0,0.003414
drift,7,495,505,0,0.003383
vanilla,8,485,515,0,0.003479
drift,8,485,515,0,0.003474
vanilla,9,486,514,0,0.003378
drift,9,1000,0,1,0.034920
vanilla,10,519,481,0,0.003304
drift,10,511,489,0,0.033778
vanilla,11,497,503,0,0.003364
drift,11,1000,0,1,0.035598
vanilla,12,508,492,0,0.003328
drift,12,508,492,0,0.003294
vanilla,13,491,509,0,0.004058
drift,13,509,491,0,0.003445
vanilla,14,513,487,0,0.003653
drift,14,491,509,0,0.032857
vanilla,15,528,472,0,0.003347
drift,15,504,496,0,0.033177
vanilla,16,495,505,0,0.005136
drift,16,505,495,0,0.003269
vanilla,17,519,481,0,0.003355
drift,17,519,481,0,0.003325
vanilla,18,501,499,0,0.003417
drift,18,507,493,0,0.033444
vanilla,19,476,524,0,0.003381
drift,19,476,524,0,0.003351
vanilla,20,484,516,0,0.005198
drift,20,494,506,0,0.033869
vanilla,21,486,514,0,0.003405
drift,21,495,505,0,0.029799
vanilla,22,488,512,0,0.003363
drift,22,500,500,0,0.033559
vanilla,23,494,506,0,0.003403
drift,23,494,506,0,0.003378
vanilla,24,506,494,0,0.003619
drift,24,1000,0,1,0.034365
vanilla,25,494,506,0,0.003451
drift,25,494,506,0,0.003398
vanilla,26,492,508,0,0.004677
drift,26,508,492,0,0.003338
vanilla,27,477,523,0,0.003423
drift,27,523,477,0,0.003249
vanilla,28,503,497,0,0.004604
drift,28,503,497,0,0.003401
vanilla,29,493,507,0,0.003317
drift,29,507,493,0,0.003287
