method,seed,count_0,count_1,dead,rec_mse
vanilla,0,1000,0,1,0.035197
drift,0,0,1000,1,0.035197
vanilla,1,0,1000,1,0.035154
drift,1,495,505,0,0.033889
vanilla,2,0,1000,1,0.034717
drift,2,504,496,0,0.003742
vanilla,3,0,1000,1,0.034782
drift,3,504,496,0,0.035416
vanilla,4,0,1000,1,0.034488
drift,4,490,510,0,0.003233
vanilla,5,1000,0,1,0.034274
drift,5,495,505,0,0.003211
vanilla,6,1000,0,1,0.034644
drift,6,1000,0,1,0.034644
vanilla,7,1000,0,1,0.034851
drift,7,495,505,0,0.003383
vanilla,8,1000,0,1,0.034989
drift,8,485,515,0,0.003474
vanilla,9,0,1000,1,0.034966
drift,9,1000,0,1,0.034920
vanilla,10,1000,0,1,0.034984
drift,10,511,489,0,0.033778
vanilla,11,1000,0,1,0.035599
drift,11,1000,0,1,0.035598
vanilla,12,508,492,0,0.003303
drift,12,508,492,0,0.003294
vanilla,13,1000,0,1,0.035094
drift,13,509,491,0,0.003445
vanilla,14,0,1000,1,0.034817
drift,14,491,509,0,0.032857
vanilla,15,0,1000,1,0.034456
drift,15,504,496,0,0.033177
vanilla,16,0,1000,1,0.035113
drift,16,505,495,0,0.003269
vanilla,17,1000,0,1,0.035282
drift,17,519,481,0,0.003325
vanilla,18,1000,0,1,0.034833
drift,18,507,493,0,0.033444
vanilla,19,0,1000,1,0.034771
drift,19,476,524,0,0.003351
vanilla,20,1000,0,1,0.035143
drift,20,494,506,0,0.033869
vanilla,21,1000,0,1,0.034400
drift,21,495,505,0,0.029799
vanilla,22,1000,0,1,0.035107
drift,22,500,500,0,0.033559
vanilla,23,1000,0,1,0.034692
drift,23,494,506,0,0.003378
vanilla,24,1000,0,1,0.034377
drift,24,1000,0,1,0.034365
vanilla,25,1000,0,1,0.034724
drift,25,494,506,0,0.003398
vanilla,26,1000,0,1,0.034526
drift,26,508,492,0,0.003338
vanilla,27,0,1000,1,0.034654
drift,27,523,477,0,0.003249
vanilla,28,0,1000,1,0.034403
drift,28,503,497,0,0.003401
vanilla,29,0,1000,1,0.034765
drift,29,507,493,0,0.003287
